用户,用户ID,评论内容,点赞数,评论时间,IP属地
Aaa最帅的那个,4995631191,我是小学四年级听的，现在已经高一了[憨笑],0,2025-05-18 01:43:09.879,福建
寒柒丶,108621879,一直在偷偷的想着你，一直一直,0,2025-05-17 17:28:12.636,浙江
K9999-__-__,319040538,现在呢,0,2025-05-17 16:21:33.342,江西
小企鹅啊_aiqx,1814374081,当我偷偷看你 当我偷偷的想着你,0,2025-05-17 16:21:02.901,河北
用户4916219864,4916219864,一f,0,2025-05-17 15:32:07.223,上海
一颗星黄豆,8904533937,11年了！你现在怎么样啊,0,2025-05-17 11:37:24.369,重庆
讨厌冷冰冰ii,588879978,明天见[憨笑],0,2025-05-17 11:28:08.022,福建
芹不辣,13406015049,十一年了，还在暗恋吗,0,2025-05-17 04:17:16.963,福建
小言不爱数学,13209859813,2017年啊[大笑],0,2025-05-17 02:31:14.715,江西
gzshaloll,1363315677,[色],2,2025-05-16 17:27:57.880,河北
糖星冰乐,507275389,夏天的歌！,0,2025-05-16 17:12:47.586,广东
删以5ai情,8874441021,初听还是校中龙，再听已是厂中猴,3,2025-05-16 12:58:01.901,浙江
蓝色奶茶加红,9212408440,嘘🤫我在等2025年六月的这批,4,2025-05-16 09:44:05.755,上海
鹤辞ci_,353974845,初听还在上小学 马上高考了[大笑],2,2025-05-16 05:34:08.600,天津
楼楼胶粘,435263943,为什么,0,2025-05-15 21:50:10.035,云南
楼楼胶粘,435263943,爱在,0,2025-05-15 21:49:45.046,辽宁
乱辰子,4883671430,我看看2025还有几个[开心][开心],0,2025-05-15 18:20:45.763,贵州
早点睡不要熬夜啊啊啊啊啊,9152777858,"你
",0,2025-05-15 12:21:28.859,北京
听晴的唱片,542215315,打卡2025 泷泷6.14沈阳见啦 ,0,2025-05-15 11:02:32.847,辽宁
冰凉圆子,13318679636,笑死了[多多大笑],0,2025-05-15 08:13:25.909,广西
冰凉圆子,13318679636,那咋了,0,2025-05-15 08:13:08.390,广西
Elegrace,1291140558,封面角度怎么看出了吴尊的感jio,0,2025-05-14 11:40:37.070,北京
从余kk,6371203428,2025依旧很抗打[多多大笑],0,2025-05-14 06:43:09.043,山东
不会慢半拍,588370852,好听,0,2025-05-13 15:24:55.788,广东
风祈叶摇怜,8104573657,你也要中考了吗姐妹?加油!我还有40天中考，加油姐妹,0,2025-05-13 14:46:26.135,浙江
情绪0碎_09D,8803441842,签到,0,2025-05-13 14:40:55.186,广东
